correct,incorrect
"Kiedy rodzice poszli siedzieć, babcia, mama mamy, wystąpiła o odebranie im praw rodzicielskich.","Kiedy rodzice poszli siedzieć, babcia, mama mamy, wystąpił o odebranie im praw rodzicielskich."
Ale się rozmyśliła.,Ale się rozmyślił.
W miastach powyżej 200 tys. mieszkańców niekwestionowaną zwyciężczynią okazała się PO (36 proc.).,W miastach powyżej 200 tys. mieszkańców niekwestionowaną zwyciężczynią okazał się PO (36 proc.).
Uparte protesty większości Ukraińców przeciwko fałszowaniu wyborów i o państwo prawa wyzwoliła dawno nie spotykaną falę solidarności wśród Polaków.,Uparte protesty większości Ukraińców przeciwko fałszowaniu wyborów i o państwo prawa wyzwolił dawno nie spotykaną falę solidarności wśród Polaków.
"Turcja podpisała, ale 29 lipca ogłosiła deklarację, że jej podpis nie oznacza uznania Cypru.","Turcja podpisał, ale 29 lipca ogłosiła deklarację, że jej podpis nie oznacza uznania Cypru."
"Widać nie odrobiła pani wcześniej lekcji pod tytułem ""jak robić karierę?""","Widać nie odrobił pani wcześniej lekcji pod tytułem ""jak robić karierę?"""
Po rozwodzie przyjaźń z transseksualistą zmieniła się w związek.,Po rozwodzie przyjaźń z transseksualistą zmienił się w związek.
"Dlatego publiczność posypała się do teatru, jak na odpust.","Dlatego publiczność posypał się do teatru, jak na odpust."
"Gdyby przyjąć, że każda rodzina ma samochód, to w naszych osiedlach na same parkingi poszłaby połowa niezabudowanego terenu.","Gdyby przyjąć, że każda rodzina ma samochód, to w naszych osiedlach na same parkingi poszedł by połowa niezabudowanego terenu."
"Tym razem para autorska Jerzy Andrzej Marek i Adam Kreczmar nie spotkała się z aprobatą sędziów festiwalowych; mimo, iż przedstawili na Festiwalu dwie piosenki godne - jak sądzę - wysokiej nagrody: jedną dawną - ale zgłoszoną zgodnie z regulaminem jury - ""Jak cię miły zatrzymać"" (moim zdaniem jedna z najlepszych polskich piosenek ostatnich lat, otrzymała tylko jedną z dalszych nagród), jedną nową: ""Daj"".","Tym razem para autorska Jerzy Andrzej Marek i Adam Kreczmar nie spotkał się z aprobatą sędziów festiwalowych; mimo, iż przedstawili na Festiwalu dwie piosenki godne - jak sądzę - wysokiej nagrody: jedną dawną - ale zgłoszoną zgodnie z regulaminem jury - ""Jak cię miły zatrzymać"" (moim zdaniem jedna z najlepszych polskich piosenek ostatnich lat, otrzymała tylko jedną z dalszych nagród), jedną nową: ""Daj""."
Francuska (upaństwowiona) firma samochodowa Renault zawarła ostatnio umowy z trzema krajami socjalistycznymi.,Francuska (upaństwowiona) firma samochodowa Renault zawarł ostatnio umowy z trzema krajami socjalistycznymi.
Momentalnie zjeżyła się jej sierść i z groźnym pomrukiem gotowa była bronić swoich szczurząt.,Momentalnie zjeżył się jej sierść i z groźnym pomrukiem gotowa była bronić swoich szczurząt.
"Po miesiącu opuściła ""swoje"" nadmiernie wyrośnięte dzieci.","Po miesiącu opuścił ""swoje"" nadmiernie wyrośnięte dzieci."
- Wyszła gdzie?,- Wyszedł gdzie?
Wystąpiła w dwu filmach irańskich (w jednym z nich także śpiewała) oraz dawała koncerty w Teheranie.,Wystąpił w dwu filmach irańskich (w jednym z nich także śpiewała) oraz dawała koncerty w Teheranie.
Natomiast Rada Państwa NRD podjęła decyzję podpisania układu.,Natomiast Rada Państwa NRD podjął decyzję podpisania układu.
Taka na przykład nasza Danka w żadnem wypadku by czegoś podobnego nie uskuteczniła.,Taka na przykład nasza Danka w żadnem wypadku by czegoś podobnego nie uskutecznił.
W dniu 4 grudnia odbyła się XXIII Zwyczajna Sesja Rady Gminy Kościelisko.,W dniu 4 grudnia odbył się XXIII Zwyczajna Sesja Rady Gminy Kościelisko.
"Podczas ostatniej soboty i niedzieli, 17 i 18 lipca w Szklarskiej Porębie dwuosobowa ekipa z Hotelu ""Kasprowy"" zajęła pierwsze miejsce w ""I Mistrzostwach Polski w Grillowaniu"".","Podczas ostatniej soboty i niedzieli, 17 i 18 lipca w Szklarskiej Porębie dwuosobowa ekipa z Hotelu ""Kasprowy"" zajął pierwsze miejsce w ""I Mistrzostwach Polski w Grillowaniu""."
"Po dekoracji zwycięzców odbyła się jeszcze jedna konkurencja - ocena strojów, w których startowali zawodnicy.","Po dekoracji zwycięzców odbył się jeszcze jedna konkurencja - ocena strojów, w których startowali zawodnicy."
"Na miejscu pojawiła się policja, później przyjechał prokurator.","Na miejscu pojawił się policja, później przyjechał prokurator."
Prokuratura nowotarska postawiła mu zarzut spowodowania śmierci dziecka poczętego (art.149 A par. 1 KK) i spowodowania choroby zagrażającej życiu (art. 155 par. 1 pkt 2).,Prokuratura nowotarska postawił mu zarzut spowodowania śmierci dziecka poczętego (art.149 A par. 1 KK) i spowodowania choroby zagrażającej życiu (art. 155 par. 1 pkt 2).
"Administrację NKWD ogarnęła panika, w popłochu opuściła specposiołki , kilka dni później pojawiły się oddziały NKWD, które stanęły na brzegu rzeki.","Administrację NKWD ogarnął panika, w popłochu opuściła specposiołki , kilka dni później pojawiły się oddziały NKWD, które stanęły na brzegu rzeki."
Siostra pana Sierożki rozejrzała się po wszystkich i głośno zapłakała.,Siostra pana Sierożki rozejrzał się po wszystkich i głośno zapłakała.
Przez następne stulecia przylgnęła do niej raczej sława rozpustnicy i zdrajczyni.,Przez następne stulecia przylgnął do niej raczej sława rozpustnicy i zdrajczyni.
"Świrszczyńska zadebiutowała w międzywojennym dwudziestoleciu tomikiem ""Wiersze i proza"", wydanym w 1936 r. w Warszawie.","Świrszczyńska zadebiutował w międzywojennym dwudziestoleciu tomikiem ""Wiersze i proza"", wydanym w 1936 r. w Warszawie."
"I gdzieś, może z tego samego drzewa, oderwała się jeszcze jedna gałąź.","I gdzieś, może z tego samego drzewa, oderwał się jeszcze jedna gałąź."
"Niestety, jak Gogolowskiego Chlestakowa, zgubiła go miłość do literatury.","Niestety, jak Gogolowskiego Chlestakowa, zgubił go miłość do literatury."
Duże zainteresowanie wzbudziła propozycja stworzenia pod auspicjami Konferencji Episkopatów Europy ośrodka badań i analiz dla Kościołów w b. krajach komunistycznych.,Duże zainteresowanie wzbudził propozycja stworzenia pod auspicjami Konferencji Episkopatów Europy ośrodka badań i analiz dla Kościołów w b. krajach komunistycznych.
Rodzima prowokacja storpedowała wyrwanie umierającego Becka na Zachód.,Rodzima prowokacja storpedował wyrwanie umierającego Becka na Zachód.
Historia zaczęła biec szybciej.,Historia zaczął biec szybciej.
"Pokora uczyniła go cichym i tylko miłość w nim płonie, dlatego spogląda na wszystkie rzeczy takimi samymi oczami.","Pokora uczynił go cichym i tylko miłość w nim płonie, dlatego spogląda na wszystkie rzeczy takimi samymi oczami."
"W roku 1980 ulotka z jej tekstem trafiła do rąk Mieczysława Cholewy, muzyka-amatora.","W roku 1980 ulotka z jej tekstem trafił do rąk Mieczysława Cholewy, muzyka-amatora."
Tak zaczęła się ogromna kariera tej piosenki.,Tak zaczął się ogromna kariera tej piosenki.
"Piosenka w jego wykonaniu rozeszła się masowo nagrana na kasetach, rozprowadzanych przez "" Solidarność"".","Piosenka w jego wykonaniu rozszedł się masowo nagrana na kasetach, rozprowadzanych przez "" Solidarność""."
"Gdy uciekł z Warszawy, emigracja nie podała mu ręki.","Gdy uciekł z Warszawy, emigracja nie podał mu ręki."
Zmierzyłam ciśnienie krwi.,Zmierzył m ciśnienie krwi.
Podałam środek odpowiednie leki zgodnie z zaleceniem lekarza.,Podał m środek odpowiednie leki zgodnie z zaleceniem lekarza.
"Mitrovica zżyła się z rozmieszczonym tu w czerwcu 1999 r. kontyngentem francuskim, a Francuzi mają tu dobrą opinię.","Mitrovica zżył się z rozmieszczonym tu w czerwcu 1999 r. kontyngentem francuskim, a Francuzi mają tu dobrą opinię."
"To co było zamierzone jako polityczny happening i karnawałowa ilustracja absurdu, amerykańska sieć telewizyjna przedstawiła jako ilustrację aktualnej tezy: Austriacy nie rozliczyli się ze swą przeszłością i wybrali drugiego Adolfa.","To co było zamierzone jako polityczny happening i karnawałowa ilustracja absurdu, amerykańska sieć telewizyjna przedstawił jako ilustrację aktualnej tezy: Austriacy nie rozliczyli się ze swą przeszłością i wybrali drugiego Adolfa."
Informacja o trzynieckiej inwestycji już 26 lutego 1999 r. dotarła na biurko polskiego ministra środowiska.,Informacja o trzynieckiej inwestycji już 26 lutego 1999 r. dotarł na biurko polskiego ministra środowiska.
Udzieliłam mu wyczerpujących informacji.,Udzielił m mu wyczerpujących informacji.
Polska mafia narodziła się w 1990 r. jednocześnie w dwóch miejscach - okolicach podwarszawskiego Pruszkowa i w środowisku Polaków przebywających w Niemczech.,Polska mafia narodził się w 1990 r. jednocześnie w dwóch miejscach - okolicach podwarszawskiego Pruszkowa i w środowisku Polaków przebywających w Niemczech.
"- Kiedy zobaczyłam, jak stary koń na widok ludzi, którzy przyjechali po kolejne trzy litry krwi, ucieka w popłochu, następnym razem powiedziałam, że nie żyje.","- Kiedy zobaczyła m , jak stary koń na widok ludzi, którzy przyjechali po kolejne trzy litry krwi, ucieka w popłochu, następnym razem powiedział m , że nie żyje."
"Legia sprzedała Zeigbo do włoskiej Venezii za kwotę blisko dziesięciokrotnie wyższą niż ta, za którą go kupiła.","Legia sprzedał Zeigbo do włoskiej Venezii za kwotę blisko dziesięciokrotnie wyższą niż ta, za którą go kupiła."
Teraz Venezia wypożyczyła go do Kuwejtu.,Teraz Venezia wypożyczył go do Kuwejtu.
- Z biegiem lat pańska gniewność ustąpiła?,- Z biegiem lat pańska gniewność ustąpił?
"Dlatego zawiesiła tabliczkę: uwaga zły pies, żeby któremu tyłka nie poszarpały, jakby chciał się wysikać pod płotem.","Dlatego zawiesił tabliczkę: uwaga zły pies, żeby któremu tyłka nie poszarpały, jakby chciał się wysikać pod płotem."
"Chcąc dopomóc mężowi w karierze w Rosji, skomplementowała córkę gubernatora: ""Kakaja u was krasnaja roża"".","Chcąc dopomóc mężowi w karierze w Rosji, skomplementował córkę gubernatora: ""Kakaja u was krasnaja roża""."
"Piekarnia pierwsza wprowadziła karty klubowe, tak jak to działa na Zachodzie.","Piekarnia pierwsza wprowadził karty klubowe, tak jak to działa na Zachodzie."
"Rozpędzonej karuzeli stanowisk nie zatrzymała minister Piwnik, choć przez pierwsze pół roku urzędowania wstrzymywała się ona z ruchami kadrowymi.","Rozpędzonej karuzeli stanowisk nie zatrzymał minister Piwnik, choć przez pierwsze pół roku urzędowania wstrzymywała się ona z ruchami kadrowymi."
Od marca Barbara Piwnik zdążyła już jednak wymienić 3 prokuratorów apelacyjnych i 9 okręgowych.,Od marca Barbara Piwnik zdążył już jednak wymienić 3 prokuratorów apelacyjnych i 9 okręgowych.
W decydującej rozgrywce z Kolinem przegrała nasza Dąbrowa Górnicza.,W decydującej rozgrywce z Kolinem przegrał nasza Dąbrowa Górnicza.
Tymczasem w międzynarodowym świecie biznesu polska porażka wywołała spore wrażenie.,Tymczasem w międzynarodowym świecie biznesu polska porażka wywołał spore wrażenie.
Kasia zrezygnowała.,Kasia zrezygnował.
- Jako bardzo młoda dziewczyna spędziła pani dziesięć lat w sowieckich łagrach.,- Jako bardzo młoda dziewczyna spędził pani dziesięć lat w sowieckich łagrach.
Jakiego czasu tam pani doświadczyła?,Jakiego czasu tam pani doświadczył?
"Robiąc specjalizację z aborcji na studiach odkryłam, jak bardzo moje podejście lekarza kobiety, przyjazne i bez osądzania, może w takim momencie pomóc.","Robiąc specjalizację z aborcji na studiach odkrył m , jak bardzo moje podejście lekarza kobiety, przyjazne i bez osądzania, może w takim momencie pomóc."
"Na koniec kokieteryjnie usprawiedliwiła się, że mówi bez ładu i składu, bo jest już w zaawansowanym wieku.","Na koniec kokieteryjnie usprawiedliwił się, że mówi bez ładu i składu, bo jest już w zaawansowanym wieku."
"»Gazeta Polska« stała się obecnie ważnym forum wymiany poglądów ludzi nawiązujących do tradycji solidarnościowych i niepodległościowych"".","»Gazeta Polska« stał się obecnie ważnym forum wymiany poglądów ludzi nawiązujących do tradycji solidarnościowych i niepodległościowych""."
"W 2000 r. pani Krystyna, już wówczas na wózku inwalidzkim, zadzwoniła na Wawel i zaprosiła do siebie dyrektora zamku: chce przekazać po śmierci majątek tej właśnie instytucji.","W 2000 r. pani Krystyna, już wówczas na wózku inwalidzkim, zadzwonił na Wawel i zaprosiła do siebie dyrektora zamku: chce przekazać po śmierci majątek tej właśnie instytucji."
"Frekwencja dopisała, słuchacze byli zadowoleni, dyskusję trzeba było przerywać, sądzę, że impreza była udana.","Frekwencja dopisał, słuchacze byli zadowoleni, dyskusję trzeba było przerywać, sądzę, że impreza była udana."
"Prawie połowa respondentów stwierdziła, że akty prowokacji zdarzają się często.","Prawie połowa respondentów stwierdził, że akty prowokacji zdarzają się często."
Powiedziała ona takie zdanie: Po tym ostatnim kryzysie jedyną szansą na prawicową koalicję w Polsce jest głęboki podział w Prawie i Sprawiedliwości.,Powiedział ona takie zdanie: Po tym ostatnim kryzysie jedyną szansą na prawicową koalicję w Polsce jest głęboki podział w Prawie i Sprawiedliwości.
Na sali zrobiła się cisza.,Na sali zrobił się cisza.
"Rada załatwiła w budżecie miasta 100 tys. zł na oddłużenie pomnika, zdejmując m.in. pieniądze na wyjazdy do miast partnerskich, bo nic dobrego z tego nie wyszło.","Rada załatwił w budżecie miasta 100 tys. zł na oddłużenie pomnika, zdejmując m.in. pieniądze na wyjazdy do miast partnerskich, bo nic dobrego z tego nie wyszło."
"15 lat temu cosa nostra zgładziła swoich największych wrogów - dwóch sędziów z Palermo, którzy ośmielili się wypowiedzieć jej wojnę.","15 lat temu cosa nostra zgładził swoich największych wrogów - dwóch sędziów z Palermo, którzy ośmielili się wypowiedzieć jej wojnę."
"Mała Dania zdecydowała, że będzie rozwijać się bez zwiększania zużycia energii.","Mała Dania zdecydował, że będzie rozwijać się bez zwiększania zużycia energii."
"Francja postawiła na energetykę jądrową, elektrownie atomowe produkują dziś w tym kraju blisko 80 proc. elektryczności.","Francja postawił na energetykę jądrową, elektrownie atomowe produkują dziś w tym kraju blisko 80 proc. elektryczności."
"Książkę o biednych z Harlemu zatytułowała pani ""No Shame in my Game"" (Nie wstydzę się tego, co robię).","Książkę o biednych z Harlemu zatytułował pani ""No Shame in my Game"" (Nie wstydzę się tego, co robię)."
Zaangażowała się w Teatrze Dramatycznym kierowanym wówczas przez Gustawa Holoubka.,Zaangażował się w Teatrze Dramatycznym kierowanym wówczas przez Gustawa Holoubka.
"Zadebiutowała rolą ""Elektry"" w sztuce Giraudoux w reż. Kazimierza Dejmka.","Zadebiutował rolą ""Elektry"" w sztuce Giraudoux w reż. Kazimierza Dejmka."
Ruszyła lawina.,Ruszył lawina.
"To ta formacja pokoleniowa, napiętnowana w młodości przez stalinizm, dodała potem rozpędu odwilży, a po 1968 r. niejeden z jej przedstawicieli wsparł opozycję demokratyczną.","To ta formacja pokoleniowa, napiętnowana w młodości przez stalinizm, dodał potem rozpędu odwilży, a po 1968 r. niejeden z jej przedstawicieli wsparł opozycję demokratyczną."
